Flag,avg_Time_Between_Sent_Trans,avg_Time Between_Receive_Trans,send_Trans,receive_Trans,min_Value_Sent_to_Contract,max_Value_Sent_to_Contract,avg_Value_Sent_to_Contract,Total_Trans,Total_Ether_Sent,Total_Ether_Received,Total_Ether_Balance
0,844.26,1093.71,721,89,0.0,0.0,0.0,810,865.6910932,586.4666748,-279.2244185
0,12709.07,2958.44,94,8,0.0,0.0,0.0,102,3.08729702,3.085478209,-0.001818811
0,246194.54,2434.02,2,10,0.0,0.0,0.0,12,3.58861565,3.58905665,0.000441
0,10219.6,15785.09,25,9,0.0,0.0,0.0,34,1750.0458620000004,895.399559,-854.6463028999998
0,36.61,10707.77,4598,20,0.0,0.0,0.0,4619,104.3188828,53.4218965,-50.89698629
0,9900.12,375.48,2,3,0.0,0.0,0.0,5,9.70371586,9.70472386,0.001008
0,69.46,629.44,25,11,0.0,0.0,0.0,36,12.0623941,12.079266,0.016871896
0,1497.39,176.84,213,5,0.0,0.0,0.0,218,8.703392156,4.45548974,-4.2479024160000005
0,0.0,0.0,1,1,0.0,0.0,0.0,2,1.99938,2.0,0.00062
0,2570.59,3336.01,8,3,0.0,0.0,0.0,11,149.077,50.1,-98.977
0,32.45,12921.57,10,10,0.0,0.0,0.0,20,10.04055439,10.04819041,0.007636018
0,3716.41,1448.09,8,246,0.0,0.0,0.0,254,831.799,831.8030477000002,0.004047714
0,0.0,12431.27,0,16,0.0,0.0,0.0,17,0.0,12.30665958,12.30665958
0,9520.7,5776.32,7,2,0.0,0.0,0.0,9,0.262941117,0.36015854,0.097217423
0,14106.66,3742.82,32,24,0.0,0.0,0.0,56,3273.988723,1851.0063760000005,-1422.982347
0,757.91,11.08,34,3,0.0,0.0,0.0,38,1.5051029580000002,1.591844363,0.086741405
0,3.13,4923.24,57,57,0.0,0.0,0.0,114,11.6048114,11.6287514,0.023940002
0,27681.45,11171.03,26,11,0.0,0.0,0.0,37,257.307,182.2115661,-75.09543387
0,770.29,3.82,3,2,0.0,0.0,0.0,5,27.765677,27.767,0.001323
0,163.78,1.11,2,2,0.0,0.0,0.0,4,100.9989738,101.0,0.001026218
0,0.0,6324.45,0,18,0.0,0.0,0.0,19,0.0,101.9235724,101.9235724
0,725.77,41108.66,7,7,0.0,0.0,0.0,14,157.09235049999995,58.85070376,-98.24164672
0,91.14,64.3,5,4,0.0,0.0,0.0,9,8.747754943,8.75,0.002245057
0,2477.34,6928.28,8,126,0.0,0.0,0.0,134,10.1,43.17587621,33.07587621
0,0.0,13339.9,0,17,0.0,0.0,0.0,18,0.0,82.62366163,82.62366163
0,0.0,0.0,1,1,0.0,0.0,0.0,2,4.99774,4.999,0.00126
0,1797.42,60933.08,82,3,0.0,0.0,0.0,85,62.341,35.0,-27.341
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.54638892,0.54764892,0.00126
0,155.22,112602.93,4,3,0.0,0.0,0.0,7,8.419634776,4.5371564000000015,-3.882478376
0,14626.26,6594.93,59,14,0.0,0.0,0.0,73,2540.083853,2351.714972,-188.368881
0,0.0,5498.63,0,53,0.0,0.0,0.0,54,0.0,26.75944516,26.75944516
0,3.33,51068.75,10,11,0.0,0.0,0.0,21,56.21491815,56.22253457,0.00761642
0,1128.56,0.0,2,1,0.0,0.0,0.0,3,0.0,1.74798122,1.74798122
0,2152.95,680.22,10,2,0.0,0.0,0.0,12,0.110734264,0.15,0.039265736
0,0.0,648.26,0,694,0.0,0.0,0.0,695,0.0,1123.399095,1123.399095
0,45.91,58.88,5970,2989,0.0,0.0,0.0,8959,225938.9558,223047.6014,-2891.354427
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.0,0.003,0.003
0,1067.84,128.81,68,4375,0.0,0.0,0.0,4443,4618.790832,4618.823828000001,0.03299662
0,1051.87,85496.6,3,4,0.0,0.0,0.0,7,11.050999999999998,5.583810700000001,-5.467189299999999
0,2.12,0.92,9996,4,0.0,0.0,0.0,10003,0.0,44.0,44.0
0,17441.04,1245.91,9,3,0.0,0.0,0.0,12,56.03738689,56.99,0.952613114
0,45561.42,26284.49,13,8,0.0,0.0,0.0,21,264.26,175.4,-88.86
0,379.78,56424.63,3,6,0.0,0.0,0.0,9,13.5,5.333648999999999,-8.166350999999999
0,1478.05,51541.26,33,6,0.0,0.0,0.0,39,76.16345259,58.81983438,-17.34361821
0,164.22,0.0,2,1,0.0,0.0,0.0,3,100.9989738,101.0,0.001026218
0,1790.44,450.56,6,6,0.0,0.0,0.0,12,15.68959511,15.69308421,0.003489099
0,803.95,112925.21,2,3,0.0,0.0,0.0,5,13.911496,7.0,-6.9114960000000005
0,18649.44,15420.31,11,4,0.0,0.0,0.0,15,8.351405032999999,6.695,-1.6564050330000002
0,65.85,32.24,2217,1807,0.0,0.0,0.0,4024,33867.26324,33856.6182,-10.64504551
0,181.7,56819.72,12,5,0.0,0.0,0.0,17,714.2,315.425,-398.775
0,23359.72,27049.27,35,13,0.0,0.0,0.0,48,3001.833603,2372.483424,-629.3501786
0,20827.93,0.0,8,1,0.0,0.0,0.0,9,101.5119377,10.0,-91.51193767
0,4183.18,1470.01,181,140,0.0,0.0,0.0,321,595.1846,561.0865,-34.0981
0,1969.46,288.59,48,10,0.0,0.0,0.0,58,324.407,258.1039104,-66.3030896
0,76.32,74.96,3424,6576,0.0,0.0,0.0,10002,148146.1047,144402.6609,-3743.443847
0,26.01,82.8,6,6,0.0,0.0,0.0,12,6.283183805,6.28594603,0.002762225
0,8174.66,3.43,3,3,0.0,0.0,0.0,6,0.439653612,0.441,0.0013463879999999
0,628.48,672.28,5,2,0.0,0.0,0.0,7,6.86172829,6.86709731,0.00536902
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.85382138,0.85487138,0.00105
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.13456893,0.13498893,0.00042
0,22.94,14237.49,17,17,0.0,0.0,0.0,34,0.80657981,0.86455069,0.05797088
0,7750.02,59605.36,7,8,0.0,0.0,0.0,15,7.093,49.1567487,42.06374870000001
0,621.07,5012.75,14,17,0.0,0.0,0.0,35,675.82347,675.9137486000002,0.090278633
0,13243.1,38530.77,9,8,0.0,0.0,0.0,17,3.789138127,2.16637118,-1.622766947
0,5815.7,845.41,30,1024,0.0,0.0,0.0,1054,200.883777,250.89045640000003,50.00667943
0,1905.13,728.9,124,6,0.0,0.0,0.0,130,80.28824888,76.61817535,-3.670073533
0,24.63,3319.39,3,3,0.0,0.0,0.0,6,15.84309204,15.845,0.001907957
0,59.56,24076.63,4,5,0.0,0.0,0.0,9,0.86268094,0.86753194,0.0048509999999999
0,0.0,0.0,1,1,0.0,0.0,0.0,2,11.999559,12.0,0.000441
0,56814.86,62086.18,3,2,0.0,0.0,0.0,5,39.90586873,20.0,-19.90586873
0,2.23,0.0,4,2,0.0,0.0,0.0,6,2000.998113,2001.0,0.001886545
0,52.48,287.13,24,28,0.0,0.0,0.0,52,57.00443406,57.01714267,0.012708609
0,1466.39,44699.56,6,7,0.0,0.0,0.0,13,94.52136494,76.5524362,-17.96892874
0,25905.07,1129.25,6,5,0.0,0.0,0.0,11,68.50535928,68.50958028,0.004221
0,3834.85,2945.2,121,53,0.0,0.0,0.0,174,432.1857424,417.5553096,-14.6304328
0,3880.52,1645.59,21,12,0.0,0.0,0.0,33,49.35013842,49.37569865,0.025560232
0,21466.84,20051.27,23,9,0.0,0.0,0.0,32,111.2229715,60.80008333,-50.42288815
0,1904.23,4621.92,16,9,0.0,0.0,0.0,25,17.89714367,17.52914441,-0.367999256
0,248.61,17068.13,1156,19,0.0,0.0,0.0,1175,1394.199349,1379.827042,-14.37230628
0,10154.24,5026.86,87,25,0.0,0.0,0.0,112,342.1772031000001,262.5381628,-79.63904036
0,674.61,221.0,16,4,0.0,0.0,0.0,20,253.2,253.51,0.31
0,3517.86,7188.55,49,30,0.0,0.0,0.0,79,4944.136269,3310.500353,-1633.635915
0,20.41,0.0,5,1,0.0,0.0,0.0,6,100.99748,101.0,0.00252
0,0.0,8831.65,0,33,0.0,0.0,0.0,34,0.0,46.27232361,46.27232361
0,244.78,169.09,61,8,0.0,0.0,0.0,69,0.614,0.97255313,0.35855313
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.44727692,0.44947692,0.0022
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.8669901309999999,0.867610131,0.00062
0,408.32,170321.78,3,2,0.0,0.0,0.0,5,0.8401762740000001,0.46,-0.380176274
0,5801.32,3041.25,85,40,0.0,0.0,0.0,125,764.6123200000002,745.9391851,-18.67313494
0,3.6,0.0,3,2,0.0,0.0,0.0,5,2000.998585,2001.0,0.001414909
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.99674689,1.0,0.00325311
0,13.67,40512.33,17,17,0.0,0.0,0.0,34,208.8754299,208.8864824,0.011052491
0,193.0,0.0,4,1,0.0,0.0,0.0,5,0.39776788,0.39,-0.00776788
0,20981.23,121771.36,11,3,0.0,0.0,0.0,14,31.16317907,31.19308507,0.029906
0,129.61,26178.65,3,11,0.0,0.0,0.0,14,721.7298479,362.7495057,-358.9803421000001
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.7316159999999999,0.732876,0.00126
0,5.88,0.42,3,2,0.0,0.0,0.0,5,2000.998585,2001.0,0.001414909
0,21.65,0.0,3,1,0.0,0.0,0.0,4,100.998446,101.0,0.0015539999999999
0,31239.32,984.92,8,2,0.0,0.0,0.0,10,2.72,3.0,0.28
0,997.32,84555.41,4,4,0.0,0.0,0.0,8,10.36611622,5.245,-5.121116224
0,9.02,12.37,59,34,0.0,0.0,0.0,93,117.44796370000002,117.475363,0.027399237
0,3.62,0.0,3,2,0.0,0.0,0.0,5,2000.998585,2001.0,0.001414909
0,15.48,0.0,3,1,0.0,0.0,0.0,4,100.998446,101.0,0.0015539999999999
0,63819.21,336.67,8,2,0.0,0.0,0.0,10,3.667049401,1.6018449,-2.065204501
0,161.67,0.04,2,2,0.0,0.0,0.0,4,100.9990158,101.0,0.000984218
0,5.05,0.0,4,2,0.0,0.0,0.0,6,2000.998113,2001.0,0.001886545
0,157.32,0.0,2,1,0.0,0.0,0.0,3,100.9990158,101.0,0.000984218
0,36.98,0.0,2,1,0.0,0.0,0.0,3,29.998992,30.0,0.001008
0,3.21,0.38,3,2,0.0,0.0,0.0,5,2000.998585,2001.0,0.001414909
0,108.58,0.82,3,2,0.0,0.0,0.0,5,100.9984936,101.0,0.001506437
0,0.0,2336.51,0,98,0.0,0.0,0.0,99,0.0,93.10979582,93.10979582
0,26.4,620.61,163,217,0.0,0.0,0.0,380,68276.60921000001,68276.71402,0.104811001
0,3500.97,14465.72,6,55,0.0,0.0,0.0,61,12.77,25.39458564,12.62458564
0,2809.83,3186.72,58,67,0.0,0.0,0.0,125,579.4761972,556.364853,-23.1113442
0,19121.43,11.04,14,2,0.0,0.0,0.0,16,9.49126836,7.4983,-1.99296836
0,1396.24,1470.58,213,580,0.0,0.0,0.0,793,183.2834952,183.6186244,0.335129226
0,30200.21,109066.9,6,4,0.0,0.0,0.0,10,21.67074448,21.67211742,0.00137294
0,0.0,1426.21,0,159,0.0,0.0,0.0,160,0.0,146.2768721,146.2768721
0,0.0,0.0,1,1,0.0,0.0,0.0,2,2.74938,2.75,0.00062
0,24.47,0.0,3,2,0.0,0.0,0.0,5,100.998477,101.0,0.001523001
0,1449.95,556.53,191,438,0.0,0.0,0.0,629,305.132883,305.2343334,0.101450356
0,5.13,3733.57,34,34,0.0,0.0,0.0,68,13.086019699999998,13.10198159,0.015961896
0,0.0,27224.25,0,13,0.0,0.0,0.0,14,0.0,17.40140661,17.40140661
0,24.86,0.23,3,2,0.0,0.0,0.0,5,100.998488,101.0,0.001512
0,20.87,0.0,3,1,0.0,0.0,0.0,4,100.998446,101.0,0.0015539999999999
0,6.0,37680.11,7,8,0.0,0.0,0.0,15,78.73005157,78.74344479,0.01339322
0,155.16,0.0,2,1,0.0,0.0,0.0,3,100.9990158,101.0,0.000984218
0,13.6,0.0,3,1,0.0,0.0,0.0,4,100.998446,101.0,0.0015539999999999
0,364.17,230.02,682,557,0.0,0.0,0.0,1239,679.1706318,679.6224223999999,0.45179059
0,1.97,1332.65,2,2,0.0,0.0,0.0,4,592.1989110000002,592.2,0.001088977
0,8197.19,3055.47,98,47,0.0,0.0,0.0,145,1162.4172529999996,959.0416393,-203.3756139
0,0.0,0.0,1,1,0.0,0.0,0.0,2,4.98,4.995,0.015
0,1.97,0.0,3,2,0.0,0.0,0.0,5,2000.998169,2001.0,0.001830667
0,161.06,0.63,2,2,0.0,0.0,0.0,4,100.9990158,101.0,0.000984218
0,5.95,123984.24,6,6,0.0,0.0,0.0,12,35.05224153,35.062,0.00975847
0,93612.1,10060.62,2,80,0.0,0.0,0.0,82,7.916865339,7.918215339,0.00135
0,5.75,8482.58,18,18,0.0,0.0,0.0,36,98.38644845,98.4,0.013551552
0,5.66,16246.22,11,11,0.0,0.0,0.0,22,11.18761414,11.19922425,0.01161011
0,72100.0,10243.09,13,8,0.0,0.0,0.0,21,1049.048,1049.518271,0.47027113
0,163.02,0.94,2,2,0.0,0.0,0.0,4,100.9990158,101.0,0.000984218
0,162.38,0.63,2,2,0.0,0.0,0.0,4,100.9990158,101.0,0.000984218
0,132551.76,47103.98,6,3,0.0,0.0,0.0,9,13.02800825,8.23425725,-4.793751
0,0.0,0.0,1,1,0.0,0.0,0.0,2,0.999559,1.0,0.000441
0,0.0,19247.54,0,13,0.0,0.0,0.0,14,0.0,5.88569015,5.88569015
0,159.83,0.92,2,2,0.0,0.0,0.0,4,100.9990158,101.0,0.000984218
0,22.05,21.34,8901,7835,0.0,0.0,0.0,16736,28580960.89,28581590.07,629.1782661000002
